label,loss,sce_radius,seed,temperature,neighbor_scale,method,nfe,valid,novel,unique_valid,unique_novel,total
sce_r1_temp08_s2,sce,1,2,0.8,4.0,entropy,16,172,143,171,143,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,euler,32,457,347,455,347,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,neighbor,32,463,372,462,371,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,entropy,32,325,253,325,253,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,euler,64,493,354,492,354,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,neighbor,64,527,400,527,400,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,entropy,64,455,357,455,357,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,euler,128,507,390,506,389,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,neighbor,128,525,406,525,406,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,entropy,128,545,396,544,396,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,euler,256,524,414,524,414,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,neighbor,256,553,387,552,387,1024
sce_r1_temp08_s2,sce,1,2,0.8,4.0,entropy,256,580,415,578,415,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,euler,8,279,240,279,240,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,neighbor,8,264,217,264,217,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,entropy,8,63,58,63,58,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,euler,16,409,319,409,319,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,neighbor,16,416,351,416,351,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,entropy,16,183,152,183,152,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,euler,32,488,364,485,363,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,neighbor,32,478,349,477,349,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,entropy,32,362,304,362,304,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,euler,64,502,374,501,373,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,neighbor,64,530,384,530,384,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,entropy,64,500,374,499,373,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,euler,128,534,406,533,405,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,neighbor,128,553,410,551,409,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,entropy,128,540,388,536,387,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,euler,256,551,405,550,405,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,neighbor,256,578,409,576,409,1024
sce_r1_temp08_s3,sce,1,3,0.8,4.0,entropy,256,625,426,622,424,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,euler,8,229,206,229,206,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,neighbor,8,220,183,220,183,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,entropy,8,42,40,42,40,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,euler,16,359,297,359,297,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,neighbor,16,298,254,298,254,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,entropy,16,153,147,153,147,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,euler,32,401,320,401,320,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,neighbor,32,401,335,401,335,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,entropy,32,261,239,261,239,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,euler,64,412,330,412,330,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,neighbor,64,444,361,443,361,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,entropy,64,354,302,354,302,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,euler,128,451,369,451,369,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,neighbor,128,484,393,484,393,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,entropy,128,453,377,453,377,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,euler,256,467,385,466,385,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,neighbor,256,480,401,480,401,1024
neighbor_scale2_s0,ce,,0,1.0,2.0,entropy,256,550,442,550,442,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,euler,8,229,206,229,206,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,neighbor,8,207,181,207,181,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,entropy,8,42,40,42,40,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,euler,16,359,297,359,297,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,neighbor,16,328,277,328,277,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,entropy,16,153,147,153,147,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,euler,32,401,320,401,320,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,neighbor,32,406,330,406,330,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,entropy,32,261,239,261,239,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,euler,64,412,330,412,330,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,neighbor,64,491,396,490,396,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,entropy,64,354,302,354,302,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,euler,128,451,369,451,369,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,neighbor,128,491,403,491,403,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,entropy,128,453,377,453,377,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,euler,256,467,385,466,385,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,neighbor,256,492,399,489,398,1024
neighbor_scale6_s0,ce,,0,1.0,6.0,entropy,256,550,442,550,442,1024
